rank,items,rate-Directory creation,time-Directory creation,rate-Directory stat,time-Directory stat,rate-Directory read,time-Directory read,rate-Directory rename,time-Directory rename,rate-Directory removal,time-Directory removal,rate-File creation,time-File creation,rate-File stat,time-File stat,rate-File read,time-File read,rate-File removal,time-File removal,rate-Tree creation,time-Tree creation,rate-Tree removal,time-Tree removal
all,20544,,,,,,,,,,,,,,,,,1.1875069434e+03,2.7680174994e+02,,,3.7483865634e+02,4.2685031891e-02
0,,,,,,,,,,,,,,,,,,7.4241270309e+01,2.7671940303e+02
1,,,,,,,,,,,,,,,,,,7.4220671839e+01,2.7679620099e+02
2,,,,,,,,,,,,,,,,,,7.4222045784e+01,2.7679107714e+02
3,,,,,,,,,,,,,,,,,,7.4221322908e+01,2.7679377294e+02
4,,,,,,,,,,,,,,,,,,7.4220944246e+01,2.7679518509e+02
5,,,,,,,,,,,,,,,,,,7.4226741724e+01,2.7677356601e+02
6,,,,,,,,,,,,,,,,,,7.4249077545e+01,2.7669030619e+02
7,,,,,,,,,,,,,,,,,,7.4256826078e+01,2.7666143417e+02
8,,,,,,,,,,,,,,,,,,7.4219654790e+01,2.7679999399e+02
9,,,,,,,,,,,,,,,,,,7.4219193039e+01,2.7680171609e+02
10,,,,,,,,,,,,,,,,,,7.4219409434e+01,2.7680090904e+02
11,,,,,,,,,,,,,,,,,,7.4221803929e+01,2.7679197907e+02
12,,,,,,,,,,,,,,,,,,7.4219863453e+01,2.7679921579e+02
13,,,,,,,,,,,,,,,,,,7.4220447957e+01,2.7679703593e+02
14,,,,,,,,,,,,,,,,,,7.4273365313e+01,2.7659982705e+02
15,,,,,,,,,,,,,,,,,,7.4220110857e+01,2.7679829311e+02
