access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,6.2980432987e+01,6.2976206064e+01,1.0392452198e+08,1.0393149732e+08
read,1,6.2980561972e+01,6.2976112127e+01,1.0392430914e+08,1.0393165235e+08
read,2,6.2980506897e+01,6.2976148129e+01,1.0392440002e+08,1.0393159294e+08
read,3,6.2980566978e+01,6.2976093054e+01,1.0392430088e+08,1.0393168383e+08
read,4,6.2980455875e+01,6.2976194143e+01,1.0392448421e+08,1.0393151700e+08
read,5,6.2980592012e+01,6.2976114988e+01,1.0392425957e+08,1.0393164763e+08
read,6,6.2980505943e+01,6.2976135969e+01,1.0392440159e+08,1.0393161300e+08
read,7,6.2980411053e+01,6.2976095915e+01,1.0392455817e+08,1.0393167911e+08
read,8,6.2980471134e+01,6.2976132870e+01,1.0392445903e+08,1.0393161812e+08
read,9,6.2980509996e+01,6.2976098061e+01,1.0392439490e+08,1.0393167557e+08
read,10,6.2980388880e+01,6.2976124048e+01,1.0392459476e+08,1.0393163268e+08
read,11,6.2980481863e+01,6.2976106882e+01,1.0392444133e+08,1.0393166101e+08
read,12,6.2980594158e+01,6.2976100922e+01,1.0392425603e+08,1.0393167084e+08
read,13,6.2980451107e+01,6.2976114035e+01,1.0392449208e+08,1.0393164920e+08
read,14,6.2980400085e+01,6.2976174116e+01,1.0392457627e+08,1.0393155005e+08
read,15,6.2980513096e+01,6.2976108074e+01,1.0392438979e+08,1.0393165904e+08
read,16,6.2980638027e+01,6.2976362944e+01,1.0392418364e+08,1.0393123842e+08
read,17,6.2980648994e+01,6.2976246834e+01,1.0392416554e+08,1.0393143004e+08
read,18,6.2980643988e+01,6.2976392984e+01,1.0392417380e+08,1.0393118884e+08
read,19,6.2980682135e+01,6.2976356983e+01,1.0392411086e+08,1.0393124826e+08
read,20,6.2980674982e+01,6.2976320982e+01,1.0392412266e+08,1.0393130767e+08
read,21,6.2980661154e+01,6.2976387024e+01,1.0392414548e+08,1.0393119868e+08
read,22,6.2980643988e+01,6.2976384878e+01,1.0392417380e+08,1.0393120222e+08
read,23,6.2980654001e+01,6.2976380110e+01,1.0392415728e+08,1.0393121009e+08
read,24,6.2980654001e+01,6.2976270914e+01,1.0392415728e+08,1.0393139030e+08
read,25,6.2980655193e+01,6.2976377964e+01,1.0392415531e+08,1.0393121363e+08
read,26,6.2980653048e+01,6.2976404905e+01,1.0392415885e+08,1.0393116917e+08
read,27,6.2980489016e+01,6.2976373911e+01,1.0392442952e+08,1.0393122032e+08
read,28,6.2980432987e+01,6.2976408005e+01,1.0392452198e+08,1.0393116406e+08
read,29,6.2980644941e+01,6.2976368904e+01,1.0392417223e+08,1.0393122858e+08
read,30,6.2980487108e+01,6.2976406813e+01,1.0392443267e+08,1.0393116602e+08
read,31,6.2980638027e+01,6.2976400852e+01,1.0392418364e+08,1.0393117586e+08
