access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,8.1868789291e+02,8.1867238808e+02,2.8256319753e+06,2.8256854899e+06
write,1,8.1868789005e+02,8.1867238617e+02,2.8256319852e+06,2.8256854965e+06
write,2,8.1868788409e+02,8.1867238784e+02,2.8256320057e+06,2.8256854908e+06
write,3,8.1868788290e+02,8.1867238498e+02,2.8256320099e+06,2.8256855006e+06
write,4,8.1868789601e+02,8.1867238617e+02,2.8256319646e+06,2.8256854965e+06
write,5,8.1868881702e+02,8.1867238617e+02,2.8256287858e+06,2.8256854965e+06
write,6,8.1868783307e+02,8.1867236495e+02,2.8256321818e+06,2.8256855698e+06
write,7,8.1868788314e+02,8.1867238402e+02,2.8256320090e+06,2.8256855039e+06
