access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,3.3667224312e+02,3.3667026114e+02,1.0300375567e+08,1.0300436205e+08
read,1,3.3667260718e+02,3.3667025900e+02,1.0300364429e+08,1.0300436271e+08
read,2,3.3667223907e+02,3.3667026091e+02,1.0300375691e+08,1.0300436213e+08
read,3,3.3667229700e+02,3.3667026019e+02,1.0300373919e+08,1.0300436235e+08
read,4,3.3667228389e+02,3.3667026210e+02,1.0300374320e+08,1.0300436176e+08
read,5,3.3667225480e+02,3.3667025995e+02,1.0300375210e+08,1.0300436242e+08
read,6,3.3667223597e+02,3.3667026305e+02,1.0300375786e+08,1.0300436147e+08
read,7,3.3667224789e+02,3.3667026114e+02,1.0300375421e+08,1.0300436205e+08
read,8,3.3667223406e+02,3.3667026210e+02,1.0300375844e+08,1.0300436176e+08
read,9,3.3667218494e+02,3.3667026186e+02,1.0300377347e+08,1.0300436184e+08
read,10,3.3667228794e+02,3.3667026496e+02,1.0300374196e+08,1.0300436089e+08
read,11,3.3667230201e+02,3.3667026806e+02,1.0300373766e+08,1.0300435994e+08
read,12,3.3667223310e+02,3.3667026401e+02,1.0300375874e+08,1.0300436118e+08
read,13,3.3667218614e+02,3.3667026305e+02,1.0300377311e+08,1.0300436147e+08
read,14,3.3667223406e+02,3.3667026591e+02,1.0300375844e+08,1.0300436060e+08
read,15,3.3667217302e+02,3.3667026496e+02,1.0300377712e+08,1.0300436089e+08
