access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,71,7.3448378515e+02,7.3447961402e+02,8.6856317443e+05,8.6856810703e+05
read,72,7.3448385406e+02,7.3447976518e+02,8.6856309295e+05,8.6856792828e+05
read,73,7.3448370004e+02,7.3447978401e+02,8.6856327508e+05,8.6856790600e+05
read,74,7.3448385000e+02,7.3447964811e+02,8.6856309774e+05,8.6856806671e+05
read,75,7.3448359895e+02,7.3447966790e+02,8.6856339463e+05,8.6856804331e+05
read,76,7.3448381209e+02,7.3447999215e+02,8.6856314257e+05,8.6856765986e+05
read,77,7.3448383093e+02,7.3447974491e+02,8.6856312030e+05,8.6856795224e+05
read,78,7.3448365521e+02,7.3447986603e+02,8.6856332809e+05,8.6856780901e+05
read,79,7.3448348904e+02,7.3447960305e+02,8.6856352460e+05,8.6856812000e+05
read,80,7.3448358989e+02,7.3447966290e+02,8.6856340534e+05,8.6856804923e+05
read,81,7.3448377204e+02,7.3447964692e+02,8.6856318994e+05,8.6856806812e+05
read,82,7.3448383999e+02,7.3447970486e+02,8.6856310958e+05,8.6856799961e+05
read,83,7.3448379803e+02,7.3447976708e+02,8.6856315921e+05,8.6856792602e+05
read,84,7.3448359680e+02,7.3447982883e+02,8.6856339716e+05,8.6856785300e+05
read,85,7.3448358393e+02,7.3447992802e+02,8.6856341239e+05,8.6856773571e+05
read,86,7.3448370600e+02,7.3447993112e+02,8.6856326804e+05,8.6856773204e+05
read,87,7.3448359108e+02,7.3447982407e+02,8.6856340393e+05,8.6856785864e+05
read,88,7.3448352313e+02,7.3447981191e+02,8.6856348428e+05,8.6856787301e+05
read,89,7.3448376703e+02,7.3447987795e+02,8.6856319586e+05,8.6856779492e+05
read,90,7.3448351908e+02,7.3447980690e+02,8.6856348908e+05,8.6856787894e+05
read,91,7.3448348308e+02,7.3447980499e+02,8.6856353165e+05,8.6856788119e+05
read,92,7.3448369408e+02,7.3447995615e+02,8.6856328213e+05,8.6856770244e+05
read,93,7.3448379612e+02,7.3447995400e+02,8.6856316146e+05,8.6856770498e+05
read,94,7.3448368216e+02,7.3447982693e+02,8.6856329623e+05,8.6856785525e+05
read,95,7.3448355103e+02,7.3447984505e+02,8.6856345130e+05,8.6856783382e+05
read,96,7.3448386288e+02,7.3447977686e+02,8.6856308252e+05,8.6856791446e+05
read,97,7.3448374391e+02,7.3447946095e+02,8.6856322321e+05,8.6856828804e+05
read,98,7.3448376012e+02,7.3447966981e+02,8.6856320403e+05,8.6856804105e+05
read,99,7.3448374486e+02,7.3447968888e+02,8.6856322208e+05,8.6856801850e+05
read,100,7.3448371196e+02,7.3447982597e+02,8.6856326099e+05,8.6856785638e+05
read,101,7.3448381591e+02,7.3447963095e+02,8.6856313806e+05,8.6856808701e+05
read,102,7.3448373318e+02,7.3447974014e+02,8.6856323589e+05,8.6856795788e+05
read,103,7.3448371410e+02,7.3447955394e+02,8.6856325845e+05,8.6856817808e+05
read,104,7.3448379707e+02,7.3447960496e+02,8.6856316033e+05,8.6856811774e+05
read,105,7.3448379898e+02,7.3447968316e+02,8.6856315808e+05,8.6856802526e+05
read,106,7.3448375893e+02,7.3447954202e+02,8.6856320544e+05,8.6856819218e+05
read,107,7.3448369908e+02,7.3447967100e+02,8.6856327621e+05,8.6856803964e+05
read,108,7.3448364210e+02,7.3447985387e+02,8.6856334360e+05,8.6856782339e+05
read,109,7.3448384690e+02,7.3447965312e+02,8.6856310141e+05,8.6856806079e+05
read,110,7.3448379397e+02,7.3448008013e+02,8.6856316400e+05,8.6856755583e+05
read,111,7.3448358989e+02,7.3447946906e+02,8.6856340534e+05,8.6856827845e+05
read,112,7.3448398089e+02,7.3447995400e+02,8.6856294296e+05,8.6856770498e+05
read,113,7.3448393893e+02,7.3447993684e+02,8.6856299258e+05,8.6856772528e+05
read,114,7.3448381901e+02,7.3447995186e+02,8.6856313440e+05,8.6856770751e+05
read,115,7.3448398995e+02,7.3448001003e+02,8.6856293224e+05,8.6856763872e+05
read,116,7.3448412800e+02,7.3448011494e+02,8.6856276900e+05,8.6856751466e+05
read,117,7.3448381186e+02,7.3448022294e+02,8.6856314285e+05,8.6856738694e+05
read,118,7.3448393607e+02,7.3448019981e+02,8.6856299596e+05,8.6856741429e+05
read,119,7.3448384714e+02,7.3448015094e+02,8.6856310113e+05,8.6856747209e+05
read,120,7.3448381305e+02,7.3448012877e+02,8.6856314144e+05,8.6856749831e+05
