access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,71,2.0814118314e+02,2.0802112913e+02,7.4484242697e+05,7.4527229348e+05
read,72,2.0814128304e+02,2.0802116489e+02,7.4484206948e+05,7.4527216535e+05
read,73,2.0814122415e+02,2.0802101684e+02,7.4484228022e+05,7.4527269580e+05
read,74,2.0814108992e+02,2.0802106595e+02,7.4484276056e+05,7.4527251984e+05
read,75,2.0814105010e+02,2.0802108312e+02,7.4484290305e+05,7.4527245834e+05
read,76,2.0814116406e+02,2.0802105403e+02,7.4484249522e+05,7.4527256255e+05
read,77,2.0814117193e+02,2.0802122712e+02,7.4484246707e+05,7.4527194241e+05
read,78,2.0814146614e+02,2.0802115297e+02,7.4484141423e+05,7.4527220806e+05
read,79,2.0814138794e+02,2.0802099800e+02,7.4484169408e+05,7.4527276328e+05
read,80,2.0814106297e+02,2.0802118301e+02,7.4484285697e+05,7.4527210044e+05
read,81,2.0814101195e+02,2.0802121902e+02,7.4484303956e+05,7.4527197146e+05
read,82,2.0814107203e+02,2.0802126884e+02,7.4484282455e+05,7.4527179293e+05
read,83,2.0814104104e+02,2.0802120280e+02,7.4484293547e+05,7.4527202954e+05
read,84,2.0814105511e+02,2.0802129412e+02,7.4484288513e+05,7.4527170239e+05
read,85,2.0814107108e+02,2.0802124691e+02,7.4484282797e+05,7.4527187152e+05
read,86,2.0814102697e+02,2.0802131200e+02,7.4484298581e+05,7.4527163833e+05
read,87,2.0814103007e+02,2.0802137899e+02,7.4484297472e+05,7.4527139830e+05
read,88,2.0814109898e+02,2.0802137589e+02,7.4484272814e+05,7.4527140941e+05
read,89,2.0814090109e+02,2.0802143216e+02,7.4484343629e+05,7.4527120782e+05
read,90,2.0814107704e+02,2.0802143097e+02,7.4484280664e+05,7.4527121209e+05
read,91,2.0814096403e+02,2.0802127600e+02,7.4484321105e+05,7.4527176731e+05
read,92,2.0814132500e+02,2.0802158284e+02,7.4484191932e+05,7.4527066799e+05
read,93,2.0814105797e+02,2.0802161884e+02,7.4484287489e+05,7.4527053901e+05
read,94,2.0814118600e+02,2.0802161694e+02,7.4484241673e+05,7.4527054584e+05
read,95,2.0814111495e+02,2.0802132988e+02,7.4484267098e+05,7.4527157426e+05
read,96,2.0814109302e+02,2.0802091908e+02,7.4484274947e+05,7.4527304601e+05
read,97,2.0814099598e+02,2.0802112889e+02,7.4484309672e+05,7.4527229433e+05
read,98,2.0814102507e+02,2.0802115798e+02,7.4484299263e+05,7.4527219012e+05
read,99,2.0814096689e+02,2.0802109289e+02,7.4484320081e+05,7.4527242331e+05
read,100,2.0814131212e+02,2.0802106404e+02,7.4484196539e+05,7.4527252667e+05
read,101,2.0814119506e+02,2.0802119684e+02,7.4484238431e+05,7.4527205089e+05
read,102,2.0814103889e+02,2.0802103710e+02,7.4484294315e+05,7.4527262319e+05
read,103,2.0814118004e+02,2.0802117586e+02,7.4484243806e+05,7.4527212606e+05
read,104,2.0814120388e+02,2.0802140617e+02,7.4484235274e+05,7.4527130093e+05
read,105,2.0814113688e+02,2.0802128005e+02,7.4484259249e+05,7.4527175279e+05
read,106,2.0814103603e+02,2.0802115893e+02,7.4484295339e+05,7.4527218671e+05
read,107,2.0814101601e+02,2.0802121997e+02,7.4484302505e+05,7.4527196804e+05
read,108,2.0814112806e+02,2.0802125001e+02,7.4484262405e+05,7.4527186041e+05
read,109,2.0814111686e+02,2.0802120686e+02,7.4484266415e+05,7.4527201502e+05
read,110,2.0814124990e+02,2.0802109098e+02,7.4484218807e+05,7.4527243015e+05
read,111,2.0814114523e+02,2.0802102494e+02,7.4484256262e+05,7.4527266676e+05
read,112,2.0814090610e+02,2.0802115297e+02,7.4484341838e+05,7.4527220806e+05
read,113,2.0814090395e+02,2.0802110386e+02,7.4484342605e+05,7.4527238402e+05
read,114,2.0814090014e+02,2.0802115607e+02,7.4484343971e+05,7.4527219696e+05
read,115,2.0814095712e+02,2.0802114415e+02,7.4484323579e+05,7.4527223967e+05
read,116,2.0814095092e+02,2.0802126288e+02,7.4484325798e+05,7.4527181429e+05
read,117,2.0814098501e+02,2.0802115893e+02,7.4484313597e+05,7.4527218671e+05
read,118,2.0814084792e+02,2.0802119088e+02,7.4484362656e+05,7.4527207225e+05
read,119,2.0814083695e+02,2.0802123809e+02,7.4484366580e+05,7.4527190312e+05
read,120,2.0814103818e+02,2.0802136683e+02,7.4484294571e+05,7.4527144187e+05
read,121,2.0814085007e+02,2.0802138495e+02,7.4484361888e+05,7.4527137695e+05
read,122,2.0814093781e+02,2.0802134895e+02,7.4484330490e+05,7.4527150593e+05
read,123,2.0814088106e+02,2.0802120900e+02,7.4484350796e+05,7.4527200733e+05
read,124,2.0814122295e+02,2.0802142406e+02,7.4484228448e+05,7.4527123687e+05
read,125,2.0814089084e+02,2.0802148008e+02,7.4484347298e+05,7.4527103613e+05
read,126,2.0814096808e+02,2.0802153897e+02,7.4484319655e+05,7.4527082515e+05
read,127,2.0814099598e+02,2.0802136993e+02,7.4484309672e+05,7.4527143076e+05
read,128,2.0814111519e+02,2.0802083707e+02,7.4484267013e+05,7.4527333985e+05
read,129,2.0814088702e+02,2.0802109289e+02,7.4484348663e+05,7.4527242331e+05
read,130,2.0814087796e+02,2.0802110004e+02,7.4484351905e+05,7.4527239769e+05
read,131,2.0814085603e+02,2.0802105904e+02,7.4484359755e+05,7.4527254461e+05
read,132,2.0814088702e+02,2.0802099490e+02,7.4484348663e+05,7.4527277438e+05
read,133,2.0814092302e+02,2.0802115393e+02,7.4484335780e+05,7.4527220465e+05
read,134,2.0814085197e+02,2.0802105999e+02,7.4484361205e+05,7.4527254119e+05
read,135,2.0814090610e+02,2.0802119279e+02,7.4484341838e+05,7.4527206541e+05
