,nodes,ntasks_per_node,filesystem.name,filesystem.mountpoint,stonewall,iters,time,ior_api,ior-easy-write,mdtest-easy-write,ior-hard-write,mdtest-hard-write,find,ior-easy-read,mdtest-easy-stat,ior-hard-read,mdtest-hard-stat,mdtest-easy-delete,mdtest-hard-read,mdtest-hard-delete,bandwidth-score,iops-score,total-score
22,1,4,quobyte,/gws/nopw/j04/perf_testing3/stackhpc,300,1,4:0:0,POSIX,2.252743,0.884165,0.000997,0.018531,158.94665,1.65664,23.092167,0.070517,22.677186,2.315901,0.045864,0.326605,0.127257,1.619462,0.453969
23,1,4,quobyte,/gws/nopw/j04/perf_testing3/stackhpc,300,2,4:0:0,POSIX,2.610983,0.960397,0.000967,0.022176,232.317506,1.908201,22.738639,0.063377,22.521364,2.411389,0.06336,0.306879,0.132196,1.816987,0.490101
24,1,16,panasas,/gws/pw/j07/perf_testing3,300,1,4:0:0,POSIX,3.625142,3.949203,0.057845,0.520889,830.675316,2.4769,38.608798,0.039691,3.63633,7.27415,18.626767,2.037616,0.37892,9.498055,1.897104
25,1,16,panasas,/gws/pw/j07/perf_testing3,300,2,4:0:0,POSIX,3.718167,3.815383,0.058596,0.521377,1008.591954,4.356208,41.073294,0.042392,4.138147,7.086298,19.308228,2.099828,0.447864,9.974464,2.113576
26,1,16,quobyte,/gws/nopw/j04/perf_testing3/stackhpc,300,1,4:0:0,POSIX,1.141277,2.214158,0.000839,0.114523,306.257446,1.331647,38.827504,0.033722,34.347349,4.663038,0.226826,0.272975,0.080966,3.626296,0.541855
27,1,16,quobyte,/gws/nopw/j04/perf_testing3/stackhpc,300,2,4:0:0,POSIX,1.083144,2.968402,0.000651,0.09477,366.483417,1.294022,54.965226,0.04707,54.065818,5.377088,0.372542,0.358293,0.080942,4.653475,0.613728
28,2,2,panasas,/gws/pw/j07/perf_testing3,300,1,4:0:0,POSIX,3.589282,1.843773,0.020762,0.958952,194.336824,2.009525,13.038979,0.1193,7.541668,5.646782,4.244321,2.739942,0.365596,6.212481,1.50707
29,2,2,panasas,/gws/pw/j07/perf_testing3,300,2,4:0:0,POSIX,3.472938,1.82177,0.020827,0.946824,203.961022,1.977546,14.125854,0.112785,6.751032,6.032963,4.267706,2.448115,0.356392,6.175277,1.483515
30,2,2,quobyte,/gws/nopw/j04/perf_testing3/stackhpc,300,1,4:0:0,POSIX,,,,,,,,,,,,,,,
31,2,2,quobyte,/gws/nopw/j04/perf_testing3/stackhpc,300,2,4:0:0,POSIX,0.957146,0.693291,0.000574,0.021982,124.355402,1.985187,14.396093,0.043082,8.883782,1.739908,0.043124,0.392357,0.082806,1.278429,0.325364
32,10,2,panasas,/gws/pw/j07/perf_testing3,300,1,4:0:0,POSIX,15.23013,4.203676,0.063089,2.773499,408.35937,8.54634,50.950305,0.097051,35.22898,7.34416,21.527812,2.533316,0.944844,15.552394,3.833352
33,10,2,panasas,/gws/pw/j07/perf_testing3,300,2,4:0:0,POSIX,15.193025,4.332634,0.063727,2.841206,385.366669,8.623979,50.95879,0.105628,34.73994,7.194602,21.288943,2.41679,0.969088,15.366399,3.858938
34,1,1,pure,/work/stackhpc-pure/,300,0,4:0:0,POSIX,1.276941,0.988739,1.362447,0.504656,0.681167,1.501662,7.839387,1.470114,7.939329,0.823973,1.415562,0.772126,1.399921,1.445409,1.422483
35,1,1,pure,/work/stackhpc-pure/,300,1,4:0:0,POSIX,1.287587,0.742375,0.964661,0.521725,0.861813,1.459074,7.655284,1.478321,8.015718,0.765871,1.276034,0.672144,1.279379,1.383909,1.330618
36,1,1,pure,/work/stackhpc-pure/,300,2,4:0:0,POSIX,1.226064,1.178051,0.813867,0.561116,0.690942,1.472968,9.857512,1.475568,9.934517,0.853451,1.447409,0.783725,1.213542,1.601634,1.394149
37,1,2,pure,/work/stackhpc-pure/,300,0,4:0:0,POSIX,1.300891,1.968212,0.763956,1.173719,2.131392,1.525174,15.709983,1.495665,15.317238,1.916649,2.751994,0.847735,1.22706,2.920877,1.89317
38,1,2,pure,/work/stackhpc-pure/,300,1,4:0:0,POSIX,1.289811,1.966509,0.700839,1.16839,1.525866,1.521268,15.299779,1.494604,16.363114,1.885683,2.773097,0.843221,1.197344,2.808444,1.83376
39,1,2,pure,/work/stackhpc-pure/,300,2,4:0:0,POSIX,1.313077,1.958821,0.709188,1.167017,2.158141,1.518369,16.071472,1.493644,15.348298,1.902302,2.804059,0.877497,1.205505,2.947457,1.884987
40,1,4,pure,/work/stackhpc-pure/,300,0,4:0:0,POSIX,1.290586,4.146555,0.319586,1.240536,2.635069,1.562992,27.53348,1.517231,27.200047,4.154007,4.945004,1.06456,0.994479,4.658976,2.1525
