access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,0,6.8788534880e+01,6.8787648916e+01,1.9941889386e+08,1.9942146231e+08
read,1,6.8788534880e+01,6.8787648916e+01,1.9941889386e+08,1.9942146231e+08
read,2,6.8788534880e+01,6.8787648916e+01,1.9941889386e+08,1.9942146231e+08
read,3,6.8788721800e+01,6.8787650824e+01,1.9941835198e+08,1.9942145678e+08
read,4,6.8788537025e+01,6.8787651062e+01,1.9941888764e+08,1.9942145609e+08
read,5,6.8788535833e+01,6.8787652016e+01,1.9941889110e+08,1.9942145333e+08
read,6,6.8788532019e+01,6.8787652969e+01,1.9941890215e+08,1.9942145056e+08
read,7,6.8788532019e+01,6.8787653923e+01,1.9941890215e+08,1.9942144780e+08
