access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,0,4.1582137513e+02,4.1581928706e+02,3.2062262109e+07,3.2062423112e+07
write,1,4.1582137918e+02,3.0073008990e+02,3.2062261796e+07,4.4332690235e+07
write,2,4.1582137513e+02,4.1229095507e+02,3.2062262109e+07,3.2336809130e+07
write,3,4.1582138300e+02,3.2073583293e+02,3.2062261502e+07,4.1567460044e+07
write,4,4.1582137918e+02,4.0645098400e+02,3.2062261796e+07,3.2801431033e+07
write,5,4.1582138610e+02,3.2313905382e+02,3.2062261263e+07,4.1258318245e+07
write,6,4.1582140803e+02,3.8283979797e+02,3.2062259572e+07,3.4824420007e+07
write,7,4.1582165313e+02,3.0041249418e+02,3.2062240674e+07,4.4379558701e+07
