,vendor,nodes,threads,obj_size,operation,Throughput (GiB/s),kIOPS
95,pure,5,100,1GiB,put,3.434091796875,0.0034300000000000003
96,quobyte,1,1,10KiB,get,0.001064453125,0.11115
97,quobyte,1,1,10KiB,put,0.000576171875,0.06046
98,quobyte,1,1,10MiB,get,0.135908203125,0.01392
99,quobyte,1,1,10MiB,put,0.044462890625,0.00455
100,quobyte,1,1,100MiB,get,0.35001953125,0.0035800000000000003
101,quobyte,1,1,100MiB,put,0.03880859375,0.0004
102,quobyte,1,1,1GiB,get,0.887578125,0.0008900000000000001
103,quobyte,1,1,1GiB,put,0.0373828125,4e-05
104,quobyte,1,20,10KiB,get,0.007509765625,0.7878099999999999
105,quobyte,1,20,10KiB,put,0.00408203125,0.42813
106,quobyte,1,20,10MiB,get,1.0481640625,0.10733
107,quobyte,1,20,10MiB,put,0.906630859375,0.09284
108,quobyte,1,20,100MiB,get,2.51083984375,0.02571
109,quobyte,1,20,100MiB,put,0.819208984375,0.00839
110,quobyte,1,20,1GiB,get,4.207353515625,0.00421
111,quobyte,1,20,1GiB,put,0.8935546875,0.0008900000000000001
112,quobyte,1,50,10KiB,get,0.029365234375,3.07966
113,quobyte,1,50,10KiB,put,0.006865234375,0.71939
114,quobyte,1,50,10MiB,get,2.5805078125,0.26424000000000003
115,quobyte,1,50,10MiB,put,2.18369140625,0.22361
116,quobyte,1,50,100MiB,get,4.085390625,0.04183
117,quobyte,1,50,100MiB,put,1.780634765625,0.01823
118,quobyte,1,50,1GiB,get,4.17177734375,0.00417
119,quobyte,1,50,1GiB,put,1.790068359375,0.0017900000000000001
120,quobyte,1,100,10KiB,get,0.0237109375,2.48612
121,quobyte,1,100,10KiB,put,0.0071484375,0.74991
122,quobyte,1,100,10MiB,get,3.5683984375,0.3654
123,quobyte,1,100,10MiB,put,2.504130859375,0.25642000000000004
124,quobyte,1,100,100MiB,get,4.15498046875,0.04255
125,quobyte,1,100,100MiB,put,2.5765625,0.02638
126,quobyte,1,100,1GiB,get,3.93580078125,0.00394
127,quobyte,1,100,1GiB,put,1.89328125,0.00189
128,quobyte,2,1,10KiB,get,0.002509765625,0.26343
129,quobyte,2,1,10KiB,put,0.001435546875,0.15063
130,quobyte,2,1,10MiB,get,0.331025390625,0.0339
131,quobyte,2,1,10MiB,put,0.092890625,0.00951
132,quobyte,2,1,100MiB,get,0.689013671875,0.0070599999999999994
133,quobyte,2,1,100MiB,put,0.085263671875,0.00087
134,quobyte,2,1,1GiB,get,1.191806640625,0.0011899999999999999
135,quobyte,2,1,1GiB,put,0.08369140625,8e-05
136,quobyte,2,20,10KiB,get,0.025986328125,2.72438
137,quobyte,2,20,10KiB,put,0.007568359375,0.7932
138,quobyte,2,20,10MiB,get,2.033466796875,0.20823
139,quobyte,2,20,10MiB,put,1.7701953125,0.18127000000000001
140,quobyte,2,20,100MiB,get,4.05853515625,0.04156
141,quobyte,2,20,100MiB,put,1.550400390625,0.015880000000000002
142,quobyte,2,20,1GiB,get,4.31087890625,0.00431
143,quobyte,2,20,1GiB,put,1.3712109375,0.0013700000000000001
144,quobyte,2,50,10KiB,get,0.0336328125,3.52643
145,quobyte,2,50,10KiB,put,0.007861328125,0.8241900000000001
146,quobyte,2,50,10MiB,get,3.597431640625,0.36838
147,quobyte,2,50,10MiB,put,3.3069921875,0.33864
148,quobyte,2,50,100MiB,get,4.272529296875,0.04375
