access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,73,3.2586667895e+02,3.0944233203e+02,3.0388966972e+07,3.2001929662e+07
write,74,3.2586651611e+02,3.0923535299e+02,3.0388982158e+07,3.2023349362e+07
write,75,3.2586654210e+02,3.0787431502e+02,3.0388979734e+07,3.2164916853e+07
write,76,3.2586643291e+02,3.0965432000e+02,3.0388989917e+07,3.1980021283e+07
write,77,3.2586645103e+02,3.0998221588e+02,3.0388988228e+07,3.1946193158e+07
write,78,3.2586643004e+02,3.0795236683e+02,3.0388990184e+07,3.2156764522e+07
write,79,3.2586647487e+02,3.0864426494e+02,3.0388986004e+07,3.2084677634e+07
write,80,3.2586613393e+02,3.2513915181e+02,3.0389017799e+07,3.0456964930e+07
write,81,3.2586624193e+02,3.2508408999e+02,3.0389007727e+07,3.0462123644e+07
write,82,3.2586614203e+02,3.2505768299e+02,3.0389017043e+07,3.0464598323e+07
write,83,3.2586626792e+02,3.2497634888e+02,3.0389005303e+07,3.0472222912e+07
write,84,3.2586615610e+02,3.2391118407e+02,3.0389015731e+07,3.0572429206e+07
write,85,3.2586624384e+02,3.2466190314e+02,3.0389007549e+07,3.0501736262e+07
write,86,3.2586620688e+02,3.2428648281e+02,3.0389010995e+07,3.0537047546e+07
write,87,3.2586614895e+02,3.2448790789e+02,3.0389016398e+07,3.0518091748e+07
write,88,3.2586621594e+02,3.2393421888e+02,3.0389010150e+07,3.0570255215e+07
write,89,3.2586659002e+02,3.2351251507e+02,3.0388975265e+07,3.0610104039e+07
write,90,3.2586602211e+02,3.2570207620e+02,3.0389028227e+07,3.0404324896e+07
write,91,3.2586599398e+02,3.2529160190e+02,3.0389030850e+07,3.0442691069e+07
write,92,3.2586574793e+02,3.2511156321e+02,3.0389053796e+07,3.0459549474e+07
write,93,3.2586588001e+02,3.2418452597e+02,3.0389041478e+07,3.0546651523e+07
write,94,3.2586581016e+02,3.2424046087e+02,3.0389047993e+07,3.0541381903e+07
write,95,3.2586589384e+02,3.2323707199e+02,3.0389040189e+07,3.0636188117e+07
write,96,3.2586575413e+02,3.1600408006e+02,3.0389053218e+07,3.1337417359e+07
write,97,3.2586573505e+02,3.1701779985e+02,3.0389054996e+07,3.1237210493e+07
write,98,3.2586573386e+02,3.1484624910e+02,3.0389055108e+07,3.1452659106e+07
write,99,3.2586602998e+02,3.1577898288e+02,3.0389027493e+07,3.1359755655e+07
write,100,3.2586567807e+02,3.1123996615e+02,3.0389060310e+07,3.1817095556e+07
write,101,3.2586584306e+02,3.1033951807e+02,3.0389044924e+07,3.1909412651e+07
write,102,3.2586582279e+02,3.1660195303e+02,3.0389046814e+07,3.1278239598e+07
write,103,3.2586599302e+02,3.1503876495e+02,3.0389030939e+07,3.1433438820e+07
write,104,3.2586579895e+02,3.1528040314e+02,3.0389049038e+07,3.1409347506e+07
write,105,3.2586590791e+02,3.1561947393e+02,3.0389038877e+07,3.1375604365e+07
write,106,3.2586586809e+02,3.1506084609e+02,3.0389042590e+07,3.1431235797e+07
write,107,3.2586611009e+02,3.1594167686e+02,3.0389020022e+07,3.1343606968e+07
write,108,3.2586586404e+02,3.1349813986e+02,3.0389042968e+07,3.1587912287e+07
write,109,3.2586584187e+02,3.1463086820e+02,3.0389045036e+07,3.1474190059e+07
write,110,3.2586578083e+02,3.1099374890e+02,3.0389050727e+07,3.1842285509e+07
write,111,3.2586585712e+02,3.1686808181e+02,3.0389043613e+07,3.1251969865e+07
write,112,3.2586614680e+02,3.0006991291e+02,3.0389016598e+07,3.3001481715e+07
write,113,3.2586630797e+02,3.0724740410e+02,3.0389001568e+07,3.2230546497e+07
write,114,3.2586603689e+02,3.0765465498e+02,3.0389026848e+07,3.2187882041e+07
write,115,3.2586631489e+02,3.0858872604e+02,3.0389000923e+07,3.2090452140e+07
write,116,3.2586608195e+02,3.0805249882e+02,3.0389022646e+07,3.2146312015e+07
write,117,3.2586648297e+02,3.0824157596e+02,3.0388985248e+07,3.2126593284e+07
write,118,3.2586626601e+02,3.0879198599e+02,3.0389005481e+07,3.2069328847e+07
write,119,3.2586633110e+02,3.0192446709e+02,3.0388999411e+07,3.2798771956e+07
write,120,3.2586628914e+02,3.0816809893e+02,3.0389003325e+07,3.2134253281e+07
write,121,3.2586634994e+02,3.0621695185e+02,3.0388997655e+07,3.2339005676e+07
write,122,3.2586620498e+02,3.0847108197e+02,3.0389011173e+07,3.2102690731e+07
write,123,3.2586636305e+02,3.0878647494e+02,3.0388996432e+07,3.2069901202e+07
write,124,3.2586602616e+02,3.0747373104e+02,3.0389027849e+07,3.2206822061e+07
write,125,3.2586613297e+02,3.0861475801e+02,3.0389017888e+07,3.2087745277e+07
write,126,3.2586607885e+02,3.0751291609e+02,3.0389022935e+07,3.2202718084e+07
write,127,3.2586615801e+02,3.0759539294e+02,3.0389015553e+07,3.2194083433e+07
write,128,3.2586588812e+02,3.2212697697e+02,3.0389040722e+07,3.0741764745e+07
write,129,3.2586597395e+02,3.2218383694e+02,3.0389032718e+07,3.0736339346e+07
write,130,3.2586593604e+02,3.2180630302e+02,3.0389036253e+07,3.0772398337e+07
write,131,3.2586598301e+02,3.2234920597e+02,3.0389031873e+07,3.0720571233e+07
write,132,3.2586589408e+02,3.2171449280e+02,3.0389040166e+07,3.0781180101e+07
write,133,3.2586600518e+02,3.1982203984e+02,3.0389029805e+07,3.0963318691e+07
write,134,3.2586600089e+02,3.2224480796e+02,3.0389030205e+07,3.0730523811e+07
write,135,3.2586605501e+02,3.2283149791e+02,3.0389025158e+07,3.0674676443e+07
write,136,3.2586596704e+02,3.2281054997e+02,3.0389033363e+07,3.0676666995e+07
write,137,3.2586604095e+02,3.2251099110e+02,3.0389026470e+07,3.0705160498e+07
write,138,3.2586601210e+02,3.1937997603e+02,3.0389029160e+07,3.1006175988e+07
write,139,3.2586599994e+02,3.2248761892e+02,3.0389030294e+07,3.0707385843e+07
write,140,3.2586599994e+02,3.2234549284e+02,3.0389030294e+07,3.0720925107e+07
write,141,3.2586616611e+02,3.2265032315e+02,3.0389014797e+07,3.0691900901e+07
write,142,3.2586601615e+02,3.2184958196e+02,3.0389028782e+07,3.0768260390e+07
write,143,3.2586627293e+02,3.2215100694e+02,3.0389004836e+07,3.0739471648e+07
write,144,3.2586558986e+02,3.1591869497e+02,3.0389068537e+07,3.1345887096e+07
